relative_path,bytes,sha256,source_sha256,source_copy_match
WK3l-15k_EN_F/entity_dict.txt,329795,75ad984db18fcb71ca99cb2d60a09f2fb9abf88d5a7ca509475bd5526b0fd50f,75ad984db18fcb71ca99cb2d60a09f2fb9abf88d5a7ca509475bd5526b0fd50f,True
WK3l-15k_EN_F/relation_dict.txt,40186,3606732d6fde36bbd0ee9bc95e8ab859c5cd25596275b3d7d3cbfa263bf5de54,3606732d6fde36bbd0ee9bc95e8ab859c5cd25596275b3d7d3cbfa263bf5de54,True
WK3l-15k_EN_F/train_triple_id.txt,1947429,a16b41034544e6de14dd776d65547bd3ba79fa64b532815706ed9ff0490bf53d,a16b41034544e6de14dd776d65547bd3ba79fa64b532815706ed9ff0490bf53d,True
WK3l-15k_EN_F/valid_triple_id.txt,649057,cb3f69c1f2236f4b97c4a2cd990229ce7135f1f666c19518c99e71fcb0ea0998,cb3f69c1f2236f4b97c4a2cd990229ce7135f1f666c19518c99e71fcb0ea0998,True
WK3l-15k_EN_F/test_triple_id.txt,648967,c90d3f1d477e098d8d9306f6aff4b0c71038a563a248926202f881e794e6f606,c90d3f1d477e098d8d9306f6aff4b0c71038a563a248926202f881e794e6f606,True
WK3l-15k_EN_F/triple_id.txt,3245453,9ced0a523cb00827dc37cf235c5cc3ad59287e0390e8c195b4bcad1ff8ec0abc,9ced0a523cb00827dc37cf235c5cc3ad59287e0390e8c195b4bcad1ff8ec0abc,True
WK3l-15k_FR/entity_dict.txt,348902,5aa39f2be89140464cecd277dd5ba09afa361c0dc4168bf25b290838a3953375,5aa39f2be89140464cecd277dd5ba09afa361c0dc4168bf25b290838a3953375,True
WK3l-15k_FR/relation_dict.txt,49467,815100463a2befb34f4f0b3ec9204378922e15141571fa9e322aa322c5ce66cd,815100463a2befb34f4f0b3ec9204378922e15141571fa9e322aa322c5ce66cd,True
WK3l-15k_FR/train_triple_id.txt,1561989,291e693482d792564edf12e3d3934a111b75b60809664fe3b90305640b2f500e,291e693482d792564edf12e3d3934a111b75b60809664fe3b90305640b2f500e,True
WK3l-15k_FR/valid_triple_id.txt,520767,21d82f3a1e58f724da45274eb5af274cba1987494ed9caf05211484356f5caa7,21d82f3a1e58f724da45274eb5af274cba1987494ed9caf05211484356f5caa7,True
WK3l-15k_FR/test_triple_id.txt,520718,4a8ed541c7a371519a11e155fd0d54f84a83a417550026bdaff9aef4c9bc2d4a,4a8ed541c7a371519a11e155fd0d54f84a83a417550026bdaff9aef4c9bc2d4a,True
WK3l-15k_FR/triple_id.txt,2603474,e1a2e2f2fca22eb3ef1ef5c63f43e30ce71e7b8848a8cbd886940e0721a2e656,e1a2e2f2fca22eb3ef1ef5c63f43e30ce71e7b8848a8cbd886940e0721a2e656,True
SHARED/wk3l-15k_en_f_fr_aligned_entity_id.txt,28356,3966025a0503e4feae4d32c56d240cdef258b77b82017ac0ccc56d0657cc8a15,3966025a0503e4feae4d32c56d240cdef258b77b82017ac0ccc56d0657cc8a15,True
